arrival_time,chain_id,func_id,cpu_usg,cpu_limit,mem_usg,mem_limit,func_delay,platform_delay,tot_delay,deadline,chain_deadline,func_type,homedge
0,0,0,3.8,1.95,11.9,3900.0,0.184,0.037,0.221,0.5301516847710305,214.049342445404,F1,23
0,0,1,0.1,3.95,5.800000000000001,7900.0,5.1,0.51,5.609999999999999,13.457696613418465,214.049342445404,F4,23
0,0,2,5.2,1.95,8.9,3900.0,10.86,0.713,11.573,27.762196596629575,214.049342445404,F8,23
0,0,3,1.0,3.95,4.9,7900.0,8.364,9.384,17.748,42.57525837699661,214.049342445404,F5,23
0,0,4,4.1000000000000005,1.95,5.2,3900.0,22.067,0.699,22.766,54.612820160621176,214.049342445404,F7,23
0,0,5,0.1,1.95,11.2,1900.0,30.327,0.984,31.311,75.11121901296713,214.049342445404,F6,23
0,1,0,8.9,3.95,68.10000000000001,7900.0,0.967,0.071,1.038,2.490033704942668,238.7169884838678,F9,27
0,1,1,0.3,0.45,10.8,400.0,3.167,3.006,6.173,14.808264027563672,238.7169884838678,F4,27
0,1,2,3.2,1.95,12.4,3900.0,12.273,0.61,12.883,30.904724682828896,238.7169884838678,F7,27
0,1,3,1.6,3.95,8.7,7900.0,8.882,9.902,18.784,45.06049432913591,238.7169884838678,F8,27
0,1,4,3.0,7.95,3.9,7900.0,11.787,12.807,24.594,58.997966222890156,238.7169884838678,F2,27
0,1,5,0.5,0.4,12.2,400.0,34.0,2.04,36.04,86.4555055165065,238.7169884838678,F0,27
0,2,0,5.800000000000001,3.95,68.0,7900.0,1.034,0.005,1.039,2.492432581344347,256.3031513845756,F3,11
0,2,1,0.2,0.45,32.1,400.0,4.505,3.315,7.82,18.759213461128773,256.3031513845756,F7,11
0,2,2,4.2,3.95,18.1,7900.0,6.222,7.242,13.464,32.298471872204324,256.3031513845756,F2,11
0,2,3,31.6,0.45,20.1,400.0,18.458,1.134,19.592,46.99878646169244,256.3031513845756,F0,11
0,2,4,4.4,1.95,7.199999999999999,3900.0,12.336,13.356,25.692,61.631932511933556,256.3031513845756,F8,11
0,2,5,2.2,15.95,1.9,31900.0,19.108,20.128,39.236,94.12231449627218,256.3031513845756,F0,11
0,3,0,0.1,1.95,7.9,1900.0,0.632,0.466,1.098,2.633966289043401,357.2286793560091,F1,9
0,3,1,34.9,3.95,11.3,7900.0,6.375,7.395,13.77,33.03252805111806,357.2286793560091,F0,9
0,3,2,0.1,1.95,13.2,1900.0,18.728,0.867,19.595,47.00598309089747,357.2286793560091,F5,9
0,3,3,4.1000000000000005,0.45,15.3,400.0,24.35,1.64,25.99,62.34679767963385,357.2286793560091,F0,9
0,3,4,0.6,1.95,6.2,7900.0,39.356,0.936,40.292,96.65552797644507,357.2286793560091,F4,9
0,3,5,4.0,1.95,11.6,1900.0,47.417,0.753,48.17,115.55387626887122,357.2286793560091,F4,9
0,4,0,6.6000000000000005,0.45,12.6,400.0,0.828,0.719,1.547,3.711061793397213,593.599566719035,F8,10
0,4,1,0.1,3.95,39.900000000000006,7900.0,9.18,6.411,15.591,37.40088197857528,593.599566719035,F8,10
0,4,2,3.5000000000000004,1.95,3.3000000000000003,5900.0,19.979,0.652,20.631,49.49121904303679,593.599566719035,F4,10
0,4,3,2.8000000000000003,1.95,10.8,1900.0,57.553,0.596,58.149,139.4922638812247,593.599566719035,F7,10
0,4,4,1.0,1.95,5.800000000000001,3900.0,64.231,1.331,65.562,157.27513464687013,593.599566719035,F5,10
0,4,5,0.1,1.95,6.9,3900.0,84.048,1.921,85.96900000000001,206.22900537593088,593.599566719035,F0,10
1,5,0,3.9,1.95,11.9,3900.0,0.173,0.046,0.2189999999999999,0.5253539319676725,234.01039298377387,F1,21
1,5,1,0.3,3.95,55.2,7900.0,6.12,1.02,7.140000000000001,17.12797750798714,234.01039298377387,F8,21
1,5,2,5.1,1.95,14.499999999999998,3900.0,12.088,0.517,12.605,30.23783704316217,234.01039298377387,F1,21
1,5,3,12.1,3.95,8.7,7900.0,8.37,9.39,17.759999999999998,42.60404489381675,234.01039298377387,F4,21
1,5,4,0.4,1.95,13.900000000000002,1900.0,24.731,1.127,25.858,62.03014599461225,234.01039298377387,F2,21
1,5,5,1.9,1.95,10.4,1900.0,33.333,0.635,33.968,81.4850336122279,234.01039298377387,F2,21
1,6,0,14.7,0.45,12.6,400.0,0.561,0.467,1.028,2.4660449409258796,250.54105026774297,F5,30
1,6,1,3.4000000000000004,0.95,8.3,1900.0,7.391,0.722,8.113,19.46208424682068,250.54105026774297,F4,30
1,6,2,0.4,0.45,16.900000000000002,400.0,6.12,7.14,13.26,31.80910108626183,250.54105026774297,F4,30
1,6,3,0.1,1.95,3.3000000000000003,5900.0,17.394,1.013,18.407,44.15611792570298,250.54105026774297,F5,30
1,6,4,0.1,1.95,13.2,1900.0,26.288,2.665,28.953,69.45466845780835,250.54105026774297,F8,30
1,6,5,0.3,0.4,12.2,400.0,33.405,1.275,34.68,83.19303361022325,250.54105026774297,F4,30
1,7,0,9.4,3.95,68.4,7900.0,0.739,0.296,1.035,2.4828370757376312,326.39831984163226,F3,30
1,7,1,0.1,3.95,5.800000000000001,7900.0,7.956,0.816,8.772,21.04294379552706,326.39831984163226,F9,30
1,7,2,47.4,3.95,23.7,7900.0,6.514,7.534,14.048,33.69941569078478,326.39831984163226,F4,30
1,7,3,38.1,0.45,20.200000000000003,400.0,18.554,0.96,19.514,46.811674102361486,326.39831984163226,F3,30
1,7,4,0.7000000000000001,1.95,6.2,7900.0,35.765,0.865,36.63,87.87084259349706,326.39831984163226,F7,30
1,7,5,0.1,1.95,11.2,1900.0,54.13,1.934,56.064,134.49060658372423,326.39831984163226,F5,30
1,8,0,6.2,3.95,67.80000000000001,7900.0,0.807,0.23,1.037,2.487634828540989,436.24287027450777,F3,30
1,8,1,4.0,1.95,11.6,3900.0,8.566,0.469,9.035,21.6738482891686,436.24287027450777,F2,30
1,8,2,54.3,3.95,11.9,7900.0,6.63,7.65,14.28,34.25595501597428,436.24287027450777,F4,30
1,8,3,4.5,1.95,3.3000000000000003,5900.0,19.624,0.549,20.173,48.392533651067865,436.24287027450777,F5,30
1,8,4,0.8,1.95,5.5,3900.0,63.645,1.229,64.87400000000001,155.6247076825151,436.24287027450777,F1,30
1,8,5,3.0,1.95,11.0,1900.0,71.888,0.566,72.45400000000001,173.80819080724095,436.24287027450777,F7,30
1,9,0,2.4,0.45,11.2,400.0,0.67,0.557,1.227,2.943421344859975,495.8237634630059,F7,0
1,9,1,6.3,15.95,5.9,31900.0,4.59,5.61,10.2,24.468539297124483,495.8237634630059,F8,0
1,9,2,14.4,1.95,30.8,3900.0,7.529,8.549,16.078,38.56913478619289,495.8237634630059,F9,0
1,9,3,3.1,1.95,5.1,3900.0,21.372,0.607,21.979,52.724904432499905,495.8237634630059,F9,0
1,9,4,0.2,1.95,6.9,3900.0,63.85,1.965,65.815,157.8820503764949,495.8237634630059,F0,0
1,9,5,0.6,0.4,13.5,400.0,90.325,1.066,91.391,219.2357132258337,495.8237634630059,F6,0
2,10,0,3.3000000000000003,1.95,11.9,3900.0,0.186,0.032,0.218,0.5229550555659939,207.06621324011678,F8,32
2,10,1,2.9000000000000004,1.95,11.5,3900.0,5.641,0.473,6.114,14.666730319864618,207.06621324011678,F6,32
2,10,2,34.0,3.95,11.2,7900.0,5.27,6.29,11.56,27.73101120340775,207.06621324011678,F8,32
2,10,3,3.0,3.95,8.7,7900.0,7.998,9.018,17.016000000000002,40.81928085096767,207.06621324011678,F0,32
2,10,4,6.2,7.95,4.9,7900.0,10.737,11.757,22.494,53.960325779364524,207.06621324011678,F3,32
2,10,5,0.2,1.95,10.3,1900.0,28.189,0.727,28.916,69.36591003094624,207.06621324011678,F0,32
