arrival_time,chain_id,func_id,cpu_usg,cpu_limit,mem_usg,mem_limit,func_delay,platform_delay,tot_delay,deadline,chain_deadline,func_type,homedge
0,0,0,3.8,1.95,11.9,3900.0,0.184,0.037,0.221,0.30395847204987086,122.72357693456075,F1,9
0,0,1,0.1,3.95,5.800000000000001,7900.0,5.1,0.51,5.609999999999999,7.715868905881337,122.72357693456075,F4,9
0,0,2,5.2,1.95,8.9,3900.0,10.86,0.713,11.573,15.917246140421518,122.72357693456075,F8,9
0,0,3,1.0,3.95,4.9,7900.0,8.364,9.384,17.748,24.410203447697324,122.72357693456075,F5,9
0,0,4,4.1000000000000005,1.95,5.2,3900.0,22.067,0.699,22.766,31.311848754241446,122.72357693456075,F7,9
0,0,5,0.1,1.95,11.2,1900.0,30.327,0.984,31.311,43.06445121426926,122.72357693456075,F6,9
0,1,0,8.9,3.95,68.10000000000001,7900.0,0.967,0.071,1.038,1.427642054243285,136.86658583994006,F9,49
0,1,1,0.3,0.45,10.8,400.0,3.167,3.006,6.173,8.490206551872637,136.86658583994006,F4,49
0,1,2,3.2,1.95,12.4,3900.0,12.273,0.61,12.883,17.718990929495412,136.86658583994006,F7,49
0,1,3,1.6,3.95,8.7,7900.0,8.882,9.902,18.784,25.83509474653744,136.86658583994006,F8,49
0,1,4,3.0,7.95,3.9,7900.0,11.787,12.807,24.594,33.82603919273541,136.86658583994006,F2,49
0,1,5,0.5,0.4,12.2,400.0,34.0,2.04,36.04,49.56861236505586,136.86658583994006,F0,49
0,2,0,5.800000000000001,3.95,68.0,7900.0,1.034,0.005,1.039,1.4290174319448679,146.94947977024594,F3,73
0,2,1,0.2,0.45,32.1,400.0,4.505,3.315,7.82,10.755453626380046,146.94947977024594,F7,73
0,2,2,4.2,3.95,18.1,7900.0,6.222,7.242,13.464,18.51808537411521,146.94947977024594,F2,73
0,2,3,31.6,0.45,20.1,400.0,18.458,1.134,19.592,26.946399929416604,146.94947977024594,F0,73
0,2,4,4.3999999999999995,1.95,7.199999999999999,3900.0,12.336,13.356,25.692,35.336203909073674,146.94947977024594,F8,73
0,2,5,2.1999999999999997,15.95,1.9,31900.0,19.108,20.128,39.236,53.96431949931553,146.94947977024594,F0,73
0,3,0,0.1,1.95,7.9,1900.0,0.632,0.466,1.098,1.5101647163382725,204.81437043125123,F1,55
0,3,1,34.9,3.95,11.3,7900.0,6.375,7.395,13.77,18.938950950799647,204.81437043125123,F0,55
0,3,2,0.1,1.95,13.2,1900.0,18.728,0.867,19.595,26.950526062521355,204.81437043125123,F5,55
0,3,3,4.1000000000000005,0.45,15.3,400.0,24.35,1.64,25.99,35.74606646414544,204.81437043125123,F0,55
0,3,4,0.6,1.95,6.2,7900.0,39.356,0.936,40.292,55.41671835218732,204.81437043125123,F4,55
0,3,5,4.0,1.95,11.6,1900.0,47.417,0.753,48.17,66.25194388525918,204.81437043125123,F4,55
0,4,0,6.6000000000000005,0.45,12.6,400.0,0.828,0.719,1.547,2.127709304349096,340.335836879043,F8,44
0,4,1,0.1,3.95,39.900000000000006,7900.0,9.18,6.411,15.591,21.443513745382518,340.335836879043,F8,44
0,4,2,3.5000000000000004,1.95,3.3000000000000003,5900.0,19.979,0.652,20.631,28.375417361361475,340.335836879043,F4,44
0,4,3,2.8000000000000003,1.95,10.8,1900.0,57.553,0.596,58.148999999999994,79.97683796935719,340.335836879043,F7,44
0,4,4,1.0,1.95,5.800000000000001,3900.0,64.231,1.331,65.562,90.17251287119291,340.335836879043,F5,44
0,4,5,0.1,1.95,6.9,3900.0,84.048,1.921,85.96900000000001,118.23984562739977,340.335836879043,F0,44
1,5,0,3.9,1.95,11.9,3900.0,0.173,0.046,0.2189999999999999,0.3012077166467045,134.16809478943395,F1,54
1,5,1,0.3,3.95,55.2,7900.0,6.12,1.02,7.140000000000001,9.820196789303521,134.16809478943395,F8,54
1,5,2,5.1,1.95,14.499999999999998,3900.0,12.088,0.517,12.605,17.336635928455305,134.16809478943395,F1,54
1,5,3,12.1,3.95,8.7,7900.0,8.37,9.39,17.759999999999998,24.426707980116316,134.16809478943395,F4,54
1,5,4,0.4,1.95,13.900000000000002,1900.0,24.731,1.127,25.858,35.564516607536476,134.16809478943395,F2,54
1,5,5,1.9,1.95,10.4,1900.0,33.333,0.635,33.967999999999996,46.718829767375624,134.16809478943395,F2,54
1,6,0,14.7,0.45,12.6,400.0,0.561,0.467,1.028,1.4138882772274537,143.64582253104325,F5,9
1,6,1,3.4000000000000004,0.95,8.3,1900.0,7.391,0.722,8.113,11.158439292943902,143.64582253104325,F4,9
1,6,2,0.4,0.45,16.900000000000002,400.0,6.12,7.14,13.26,18.23750832299225,143.64582253104325,F4,9
1,6,3,0.1,1.95,3.3000000000000003,5900.0,17.394,1.013,18.406999999999996,25.316577353040596,143.64582253104325,F5,9
1,6,4,0.1,1.95,13.2,1900.0,26.288,2.665,28.953,39.821310593936246,143.64582253104325,F8,9
1,6,5,0.3,0.4,12.2,400.0,33.405,1.275,34.68,47.69809869090281,143.64582253104325,F4,9
1,7,0,9.4,3.95,68.4,7900.0,0.739,0.296,1.035,1.4235159211385353,187.13801621050487,F3,55
1,7,1,0.1,3.95,5.800000000000001,7900.0,7.956,0.816,8.772,12.064813198287183,187.13801621050487,F9,55
1,7,2,47.4,3.95,23.7,7900.0,6.514,7.534,14.048,19.321305951839754,187.13801621050487,F4,55
1,7,3,38.1,0.45,20.200000000000003,400.0,18.554,0.96,19.514,26.83912046869312,187.13801621050487,F3,55
1,7,4,0.7000000000000001,1.95,6.2,7900.0,35.765,0.865,36.63,50.38008520898991,187.13801621050487,F7,55
1,7,5,0.1,1.95,11.2,1900.0,54.13,1.934,56.064,77.10917546155638,187.13801621050487,F5,55
1,8,0,6.2,3.95,67.80000000000001,7900.0,0.807,0.23,1.037,1.4262666765417016,250.11656116599625,F3,81
1,8,1,4.0,1.95,11.6,3900.0,8.566,0.469,9.035,12.426537533803545,250.11656116599625,F2,81
1,8,2,54.3,3.95,11.9,7900.0,6.63,7.65,14.28,19.64039357860704,250.11656116599625,F4,81
1,8,3,4.5,1.95,3.3000000000000003,5900.0,19.624,0.549,20.173,27.7454943740364,250.11656116599625,F5,81
1,8,4,0.8,1.95,5.5,3900.0,63.645,1.229,64.87400000000001,89.22625301250373,250.11656116599625,F1,81
1,8,5,3.0,1.95,11.0,1900.0,71.888,0.566,72.45400000000001,99.65161599050383,250.11656116599625,F7,81
1,9,0,2.4,0.45,11.2,400.0,0.67,0.557,1.227,1.6875884398424958,284.27681714021634,F7,82
1,9,1,6.3,15.95,5.8999999999999995,31900.0,4.59,5.61,10.2,14.028852556147886,284.27681714021634,F8,82
1,9,2,14.4,1.95,30.8,3900.0,7.529,8.549,16.078,22.1133226860535,284.27681714021634,F9,82
1,9,3,3.1,1.95,5.1,3900.0,21.372,0.607,21.979,30.229426503095528,284.27681714021634,F9,82
1,9,4,0.2,1.95,6.9,3900.0,63.85,1.965,65.815,90.52048342969344,284.27681714021634,F0,82
1,9,5,0.6,0.4,13.5,400.0,90.325,1.066,91.391,125.69714352538348,284.27681714021634,F6,82
2,10,0,3.3000000000000003,1.95,11.9,3900.0,0.186,0.032,0.218,0.2998323389451215,118.71985244525229,F8,41
2,10,1,2.9000000000000004,1.95,11.5,3900.0,5.641,0.473,6.114,8.409059267479233,118.71985244525229,F6,41
2,10,2,34.0,3.95,11.2,7900.0,5.27,6.29,11.56,15.899366230300938,118.71985244525229,F8,41
2,10,3,3.0,3.95,8.7,7900.0,7.998,9.018,17.016000000000002,23.403426970138476,118.71985244525229,F0,41
2,10,4,6.2,7.95,4.9,7900.0,10.737,11.757,22.494,30.937746019410838,118.71985244525229,F3,41
2,10,5,0.2,1.95,10.3,1900.0,28.189,0.727,28.916,39.77042161897767,118.71985244525229,F0,41
2,11,0,9.6,0.45,12.6,400.0,0.538,0.439,0.977,1.343744014446714,133.71834628101627,F4,21
2,11,1,2.0,1.95,12.4,3900.0,6.454,0.472,6.926,9.525865961164731,133.71834628101627,F2,21
2,11,2,0.3,0.45,17.0,400.0,5.78,6.8,12.58,17.302251485915725,133.71834628101627,F0,21
2,11,3,1.7000000000000002,1.95,7.1,3900.0,8.354,9.374,17.728,24.382695893665662,133.71834628101627,F5,21
2,11,4,0.1,1.95,13.2,1900.0,21.279,1.693,22.972,31.595176560767573,133.71834628101627,F3,21
2,11,5,0.5,0.4,12.3,400.0,34.0,2.04,36.04,49.56861236505586,133.71834628101627,F8,21
2,12,0,8.3,3.95,67.9,7900.0,0.74,0.295,1.035,1.4235159211385353,202.56837864456597,F6,48
2,12,1,2.1999999999999997,0.95,8.0,1900.0,7.221,0.623,7.844,10.788462691218042,202.56837864456597,F3,48
2,12,2,0.4,0.4,11.9,400.0,6.8,6.46,13.26,18.23750832299225,202.56837864456597,F8,48
2,12,3,0.8999999999999999,0.45,14.9,400.0,17.812,1.326,19.138,26.32197845289787,202.56837864456597,F0,48
2,12,4,0.4,1.95,6.2,7900.0,35.999,0.829,36.828,50.65240999390337,202.56837864456597,F2,48
2,12,5,0.7000000000000001,1.95,5.4,3900.0,67.749,1.428,69.17699999999999,95.14450326241591,202.56837864456597,F5,48
2,13,0,6.0,3.95,68.0,7900.0,0.821,0.218,1.039,1.4290174319448679,219.92014372773872,F3,5
2,13,1,0.5,1.95,16.7,3900.0,9.618,0.866,10.484,14.419459823397494,219.92014372773872,F4,5
